"PORT","TONNAGETYPE","YEAR","TONNE"
"KELANG","EXPORT","2003",36305
"KELANG","IMPORT","2003",52583
"KELANG","TRANS-SHIPMENT","2003",0
"PULAU PINANG","EXPORT","2003",9908
"PULAU PINANG","IMPORT","2003",12482
"PULAU PINANG","TRANS-SHIPMENT","2003",5
"JOHOR","EXPORT","2003",13508
"JOHOR","IMPORT","2003",14270
"JOHOR","TRANS-SHIPMENT","2003",0
"KUANTAN","EXPORT","2003",4899
"KUANTAN","IMPORT","2003",4905
"KUANTAN","TRANS-SHIPMENT","2003",0
"BINTULU","EXPORT","2003",26110
"BINTULU","IMPORT","2003",2867
"BINTULU","TRANS-SHIPMENT","2003",0
"TANJUNG BRUAS","EXPORT","2003",90
"TANJUNG BRUAS","IMPORT","2003",618
"TANJUNG BRUAS","TRANS-SHIPMENT","2003",0
"KUCHING","EXPORT","2003",1659
"KUCHING","IMPORT","2003",5151
"KUCHING","TRANS-SHIPMENT","2003",0
"MIRI","EXPORT","2003",5643
"MIRI","IMPORT","2003",524
"MIRI","TRANS-SHIPMENT","2003",0
"RAJANG","EXPORT","2003",3410
"RAJANG","IMPORT","2003",1249
"RAJANG","TRANS-SHIPMENT","2003",0
"SABAH","EXPORT","2003",12673
"SABAH","IMPORT","2003",9388
"SABAH","TRANS-SHIPMENT","2003",0
"PORT DICKSON","EXPORT","2003",4548
"PORT DICKSON","IMPORT","2003",8574
"PORT DICKSON","TRANS-SHIPMENT","2003",0
"KEMAMAN","EXPORT","2003",1272
"KEMAMAN","IMPORT","2003",1716
"KEMAMAN","TRANS-SHIPMENT","2003",0
"TELUK EWA","EXPORT","2003",3091
"TELUK EWA","IMPORT","2003",535
"TELUK EWA","TRANS-SHIPMENT","2003",0
"TANJUNG PELEPAS","EXPORT","2003",1879
"TANJUNG PELEPAS","IMPORT","2003",542
"TANJUNG PELEPAS","TRANS-SHIPMENT","2003",47413
"KELANG","EXPORT","2004",41068
"KELANG","IMPORT","2004",58843
"KELANG","TRANS-SHIPMENT","2004",0
"PULAU PINANG","EXPORT","2004",10510
"PULAU PINANG","IMPORT","2004",12905
"PULAU PINANG","TRANS-SHIPMENT","2004",5
"JOHOR","EXPORT","2004",15557
"JOHOR","IMPORT","2004",15647
"JOHOR","TRANS-SHIPMENT","2004",0
"KUANTAN","EXPORT","2004",5029
"KUANTAN","IMPORT","2004",4670
"KUANTAN","TRANS-SHIPMENT","2004",0
"BINTULU","EXPORT","2004",30402
"BINTULU","IMPORT","2004",3221
"BINTULU","TRANS-SHIPMENT","2004",0
"TANJUNG BRUAS","EXPORT","2004",21
"TANJUNG BRUAS","IMPORT","2004",723
"TANJUNG BRUAS","TRANS-SHIPMENT","2004",0
"KUCHING","EXPORT","2004",1984
"KUCHING","IMPORT","2004",5107
"KUCHING","TRANS-SHIPMENT","2004",36
"MIRI","EXPORT","2004",4868
"MIRI","IMPORT","2004",460
"MIRI","TRANS-SHIPMENT","2004",0
"RAJANG","EXPORT","2004",3372
"RAJANG","IMPORT","2004",1289
"RAJANG","TRANS-SHIPMENT","2004",0
"SABAH","EXPORT","2004",14147
"SABAH","IMPORT","2004",10499
"SABAH","TRANS-SHIPMENT","2004",0
"PORT DICKSON","EXPORT","2004",3611
"PORT DICKSON","IMPORT","2004",11031
"PORT DICKSON","TRANS-SHIPMENT","2004",0
"KEMAMAN","EXPORT","2004",1502
"KEMAMAN","IMPORT","2004",1856
"KEMAMAN","TRANS-SHIPMENT","2004",0
"TELUK EWA","EXPORT","2004",2986
"TELUK EWA","IMPORT","2004",610
"TELUK EWA","TRANS-SHIPMENT","2004",0
"TANJUNG PELEPAS","EXPORT","2004",2252
"TANJUNG PELEPAS","IMPORT","2004",638
"TANJUNG PELEPAS","TRANS-SHIPMENT","2004",54188
"KELANG","EXPORT","2005",46624
"KELANG","IMPORT","2005",63035
"KELANG","TRANS-SHIPMENT","2005",0
"PULAU PINANG","EXPORT","2005",10664
"PULAU PINANG","IMPORT","2005",12899
"PULAU PINANG","TRANS-SHIPMENT","2005",3
"JOHOR","EXPORT","2005",13779
"JOHOR","IMPORT","2005",14789
"JOHOR","TRANS-SHIPMENT","2005",0
"KUANTAN","EXPORT","2005",5061
"KUANTAN","IMPORT","2005",4350
"KUANTAN","TRANS-SHIPMENT","2005",0
"BINTULU","EXPORT","2005",32580
"BINTULU","IMPORT","2005",2516
"BINTULU","TRANS-SHIPMENT","2005",1345
"TANJUNG BRUAS","EXPORT","2005",8
"TANJUNG BRUAS","IMPORT","2005",442
"TANJUNG BRUAS","TRANS-SHIPMENT","2005",0
"KUCHING","EXPORT","2005",1979
"KUCHING","IMPORT","2005",5488
"KUCHING","TRANS-SHIPMENT","2005",22
"MIRI","EXPORT","2005",4589
"MIRI","IMPORT","2005",457
"MIRI","TRANS-SHIPMENT","2005",0
"RAJANG","EXPORT","2005",3376
"RAJANG","IMPORT","2005",1347
"RAJANG","TRANS-SHIPMENT","2005",0
"SABAH","EXPORT","2005",15857
"SABAH","IMPORT","2005",10317
"SABAH","TRANS-SHIPMENT","2005",0
"PORT DICKSON","EXPORT","2005",3293
"PORT DICKSON","IMPORT","2005",8808
"PORT DICKSON","TRANS-SHIPMENT","2005",0
"KEMAMAN","EXPORT","2005",1421
"KEMAMAN","IMPORT","2005",1599
"KEMAMAN","TRANS-SHIPMENT","2005",0
"TELUK EWA","EXPORT","2005",3046
"TELUK EWA","IMPORT","2005",537
"TELUK EWA","TRANS-SHIPMENT","2005",0
"TANJUNG PELEPAS","EXPORT","2005",2537
"TANJUNG PELEPAS","IMPORT","2005",627
"TANJUNG PELEPAS","TRANS-SHIPMENT","2005",56357
"KELANG","EXPORT","2006",56330
"KELANG","IMPORT","2006",65674
"KELANG","TRANS-SHIPMENT","2006",0
"PULAU PINANG","EXPORT","2006",9526
"PULAU PINANG","IMPORT","2006",13371
"PULAU PINANG","TRANS-SHIPMENT","2006",0
"JOHOR","EXPORT","2006",13305
"JOHOR","IMPORT","2006",14162
"JOHOR","TRANS-SHIPMENT","2006",0
"KUANTAN","EXPORT","2006",6555
"KUANTAN","IMPORT","2006",4118
"KUANTAN","TRANS-SHIPMENT","2006",0
"BINTULU","EXPORT","2006",31731
"BINTULU","IMPORT","2006",2755
"BINTULU","TRANS-SHIPMENT","2006",2020
"TANJUNG BRUAS","EXPORT","2006",7
"TANJUNG BRUAS","IMPORT","2006",399
"TANJUNG BRUAS","TRANS-SHIPMENT","2006",0
"KUCHING","EXPORT","2006",1977
"KUCHING","IMPORT","2006",5204
"KUCHING","TRANS-SHIPMENT","2006",22
"MIRI","EXPORT","2006",5246
"MIRI","IMPORT","2006",369
"MIRI","TRANS-SHIPMENT","2006",0
"RAJANG","EXPORT","2006",3476
"RAJANG","IMPORT","2006",1357
"RAJANG","TRANS-SHIPMENT","2006",0
"SABAH","EXPORT","2006",16902
"SABAH","IMPORT","2006",11238
"SABAH","TRANS-SHIPMENT","2006",0
"PORT DICKSON","EXPORT","2006",6797
